,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Employee Benefits,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Defined Pension Benefit,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Non Current Accounts Receivable,Financial Assets,Investments And Advances,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Land And Improvements,Current Assets,Other Current Assets,Hedging Assets Current,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Receivables,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Symbol,Company Name,Treasury Shares Number,Current Deferred Liabilities,Current Deferred Revenue,Current Capital Lease Obligation,Current Accrued Expenses,Restricted Cash,Other Short Term Investments,Cash Financial,Commercial Paper,Investmentin Financial Assets,Available For Sale Securities,Leases,Properties,Cash Equivalents,Treasury Stock,Non Current Deferred Taxes Liabilities,Dividends Payable,Buildings And Improvements,Preferred Stock,Other Payable,Income Tax Payable,Other Investments,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Preferred Shares Number,Preferred Stock Equity,Long Term Equity Investment,Investments In Other Ventures Under Equity Method,Prepaid Assets,Liabilities Heldfor Sale Non Current,Investmentsin Joint Venturesat Cost,Assets Held For Sale Current,Taxes Receivable,Other Equity Interest,Current Provisions,Interest Payable,Non Current Note Receivables,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Investmentsin Associatesat Cost,Preferred Securities Outside Stock Equity,Line Of Credit,Current Notes Payable,Receivables Adjustments Allowances,Notes Receivable,Loans Receivable,Foreign Currency Translation Adjustments,Minimum Pension Liabilities,Unrealized Gain Loss,Held To Maturity Securities,Investment Properties,Duefrom Related Parties Current,Current Deferred Assets,Dueto Related Parties Current,Inventories Adjustments Allowances,Non Current Accrued Expenses,Accrued Interest Receivable,Trading Securities,Investmentsin Subsidiariesat Cost,Total Partnership Capital,Limited Partnership Capital,Dueto Related Parties Non Current,Duefrom Related Parties Non Current,Fixed Assets Revaluation Reserve,Current Deferred Taxes Liabilities,Current Deferred Taxes Assets,General Partnership Capital
3/31/2023,231800000,231800000,1029400000,3293300000,-343700000,3930000000,1072800000,-343700000,1626700000,2263400000,3905000000,2263400000,,2263400000,-217600000,-217600000,-1170500000,3649200000,2300000,2300000,4721000000,3574900000,318000000,,,,63500000,219800000,,2973600000,1332000000,1641600000,,1146100000,,319700000,25000000,25000000,,826400000,331000000,,331000000,6984400000,4765500000,171400000,,,45000000,45000000,,,,2607100000,1361800000,1245300000,1942000000,,1942000000,,1942000000,,,2218900000,69000000,,934100000,,,,,443800000,,240800000,651800000,637200000,TPR,"Tapestry, Inc.",,,,294700000,495400000,,14600000,,,,,,,,,219800000,,,0,,,,-6200000,247000000,,,,,120200000,,,,203000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2024,222150320,241259940,12667000000,13132600000,446600000,15480800000,-841500000,446600000,355700000,2703900000,14980800000,4577600000,1873700000,2703900000,33900000,33900000,654100000,3073400000,200000,200000,16268500000,13454000000,3800000,39800000,,,,719300000,119100000,12586500000,309600000,12276900000,104600000,2814500000,76800000,546100000,500000000,,,2191600000,1709500000,,1709500000,20846100000,18873100000,163700000,,,,,,17100000,152200000,2257300000,,,16282800000,-10701100000,26983900000,348100000,26635800000,,,1973000000,82300000,72600000,224500000,,,,,1483700000,,1483700000,109900000,109900000,TRGP,Targa Resources Corp.,19109620,,,46100000,482100000,,,,,,,,,,1057700000,600200000,,,,,,,-2500000,1486200000,,,152200000,,,,,,,,,186200000,,,,,500000000,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2023,222611259,240095699,12522400000,13010400000,389100000,15403800000,-566300000,389100000,346300000,2739700000,14828800000,4610000000,1870300000,2739700000,85600000,85600000,492000000,3058800000,200000,200000,16061800000,13300900000,6800000,16800000,,,,784600000,248800000,12389700000,300600000,12089100000,103000000,2760900000,54000000,620700000,575000000,,,2086200000,1574900000,,1574900000,20671800000,18477200000,140600000,,,,,,33300000,146300000,2350600000,,,15806400000,-10458800000,26265200000,1456100000,24809100000,,,2194600000,98500000,111900000,371500000,,,,,1471000000,,1471000000,141700000,141700000,TRGP,Targa Resources Corp.,17484440,,,45700000,511300000,,,,,,,,,,896900000,535800000,,,0,,,,-2500000,1473500000,,,146300000,,,,,,,,,229600000,,,,0,575000000,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2023,223080697,240087974,12500500000,12955900000,59500000,15146100000,-542800000,59500000,315900000,2506100000,14586100000,4377800000,1871700000,2506100000,-5300000,-5300000,305500000,3061500000,200000,200000,15811800000,13129700000,15900000,34800000,,,,620400000,202100000,12353900000,273900000,12080000000,104700000,2682100000,105800000,602000000,560000000,,,1974300000,1581300000,,1581300000,20189600000,18050300000,114200000,,,,,,17700000,138300000,2446600000,,,15333500000,-10240700000,25574200000,1566300000,24007900000,,,2139300000,138300000,84200000,536200000,,,,,1241100000,,1241100000,139500000,139500000,TRGP,Targa Resources Corp.,17007277,,,42000000,393000000,,,139500000,,,,,,,855800000,418300000,,,0,,,,-2600000,1243700000,,,138300000,,,,,,,,,101000000,,,,0,560000000,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2023,224052233,239212098,11966500000,12438400000,132600000,14811100000,-591800000,132600000,302500000,2675200000,14263200000,4540200000,1865000000,2675200000,130800000,130800000,199500000,3045800000,200000,200000,14921600000,12601000000,15000000,24100000,,,,605200000,200100000,11852400000,264400000,11588000000,104300000,2320600000,51100000,586000000,547900000,,,1683500000,1173300000,,1173300000,19461800000,17733000000,119700000,,,,,,48500000,131800000,2542600000,,,14890400000,-10115200000,25005600000,1266900000,23738700000,,,1728800000,64800000,194200000,312300000,,,,,988100000,,988100000,169400000,169400000,TRGP,Targa Resources Corp.,15159865,,,38100000,510200000,,,,,,,,,,701100000,405100000,,,0,,,,-2500000,990600000,,,131800000,,,,,,,,,227200000,,,,0,547900000,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2023,226135558,239205818,11722900000,12205800000,-87900000,14485400000,-827800000,-87900000,271100000,2550700000,13781400000,4412200000,1861500000,2550700000,84800000,84800000,-129800000,3146000000,200000,200000,14613300000,12146700000,15000000,62400000,,,,502800000,204500000,11466800000,236100000,11230700000,99700000,2466600000,156600000,739000000,704000000,,,1571000000,1255300000,,1255300000,19025500000,17386700000,107200000,,,,,,36200000,134700000,2638600000,,,14470000000,-9912400000,24382400000,1085100000,23297300000,,,1638800000,100900000,146500000,156200000,,,,,1023400000,,1023400000,211800000,211800000,TRGP,Targa Resources Corp.,13070260,,,35000000,315700000,,,,,,,,,,550500000,298300000,,,0,,,,-2500000,1025900000,,,134700000,,,,,,,,,127100000,,,,0,704000000,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2024,450930135,450930135,1919000000,3820000000,-949000000,14855000000,-112000000,-949000000,,11035000000,13914000000,11035000000,,11035000000,-1077000000,-1077000000,8712000000,,3400000000,3400000000,7781000000,4246000000,942000000,,,,,425000000,,2879000000,,2879000000,,3535000000,390000000,941000000,941000000,941000000,,1276000000,1276000000,354000000,922000000,18816000000,15393000000,629000000,,,1067000000,1067000000,,,1262000000,11984000000,4699000000,7285000000,451000000,,,,,,,3423000000,464000000,,,,,,,1040000000,,1040000000,1919000000,1901000000,TRI,Thomson Reuters Corporation,,928000000,928000000,,,,18000000,,,426000000,426000000,,,,,425000000,,,,,,,,,,,836000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2023,452962832,452962832,2079000000,3542000000,-166000000,14231000000,-312000000,-56000000,265000000,10954000000,13969000000,11064000000,,11064000000,-1042000000,,8680000000,1504000000,1901000000,1791000000,7620000000,4387000000,40000000,0,535000000,,,627000000,,3114000000,209000000,2905000000,71000000,3233000000,494000000,428000000,372000000,372000000,,1227000000,429000000,248000000,181000000,18684000000,15763000000,374000000,45000000,,1212000000,1104000000,91000000,65000000,2409000000,11120000000,4401000000,6719000000,447000000,-849000000,1296000000,,,495000000,,2921000000,43000000,0,20000000,,,,,1194000000,73000000,1049000000,1264000000,1198000000,TRI,Thomson Reuters Corporation,,992000000,992000000,56000000,798000000,100000000,66000000,,,379000000,116000000,,801000000,,,553000000,,,110000000,,,,-54000000,1103000000,6000000,110000000,2030000000,,161000000,,,,72000000,21000000,92000000,,,263000000,,,,,,,,-1042000000,,,,,,139000000,,,,,,,,,,,,,,
9/30/2023,455491082,455491082,1944000000,4358000000,94000000,15550000000,207000000,94000000,,11192000000,14070000000,11192000000,,11192000000,-1145000000,-1129000000,8933000000,1490000000,1898000000,1898000000,8157000000,4309000000,219000000,,562000000,,,577000000,,2878000000,,2878000000,73000000,3848000000,120000000,1480000000,1480000000,1480000000,,1228000000,572000000,423000000,149000000,19349000000,15294000000,454000000,31000000,,1142000000,1046000000,,40000000,2134000000,11098000000,4431000000,6667000000,395000000,,,,,,,4055000000,439000000,,,,,,,982000000,,982000000,2532000000,2414000000,TRI,Thomson Reuters Corporation,,935000000,935000000,,656000000,102000000,118000000,,,333000000,96000000,,,,,507000000,,,,,,,,,,,1801000000,,,,,,,16000000,85000000,,,237000000,,,,,,,,-1145000000,,,,,,,,,,,,,,,,,,,,
6/30/2023,453997380,453997380,2816000000,5581000000,755000000,16782000000,-484000000,755000000,,11201000000,14342000000,11201000000,,11201000000,-1003000000,-1003000000,8836000000,1492000000,1876000000,1876000000,9688000000,4770000000,207000000,,521000000,,,828000000,,3141000000,,3141000000,73000000,4918000000,185000000,2440000000,2440000000,2440000000,,1257000000,640000000,479000000,161000000,20889000000,16455000000,461000000,52000000,,1169000000,1072000000,,62000000,3863000000,10446000000,4256000000,6190000000,402000000,,,,,,,4434000000,472000000,,,,,,,1000000000,,1000000000,2869000000,2765000000,TRI,Thomson Reuters Corporation,,942000000,942000000,,617000000,93000000,104000000,,,386000000,123000000,,,,,752000000,,,,,,,,,,,3477000000,,,,,,,,94000000,,,263000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2023,453997379,453997379,2725000000,4415000000,2044000000,16894000000,-354000000,2044000000,,12479000000,15595000000,12479000000,,12479000000,-1090000000,-1090000000,8167000000,1444000000,3958000000,3958000000,8556000000,4814000000,243000000,,543000000,,,830000000,,3116000000,,3116000000,82000000,3742000000,217000000,1299000000,1299000000,1299000000,,1295000000,681000000,557000000,124000000,21035000000,17647000000,459000000,67000000,,1198000000,1092000000,,,5087000000,10435000000,4171000000,6264000000,401000000,,,,,,,3388000000,458000000,,,,,,,941000000,,941000000,1774000000,1690000000,TRI,Thomson Reuters Corporation,,834000000,834000000,,614000000,,84000000,,,515000000,515000000,,,,,756000000,,,,,,,,,,,4572000000,4572000000,,,,215000000,,,97000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2024,139143633,164037500,,917000000,-37000000,1665000000,619000000,-37000000,77000000,825000000,1665000000,825000000,,825000000,-78000000,-78000000,212000000,1513000000,0,0,1913000000,1021000000,3000000,,,,89000000,26000000,25000000,903000000,63000000,840000000,,892000000,64000000,14000000,,,,732000000,591000000,178000000,60000000,2738000000,1227000000,45000000,,,78000000,78000000,,,32000000,862000000,40000000,822000000,210000000,-563000000,773000000,,773000000,,,1511000000,48000000,,,,,,,292000000,25000000,223000000,1171000000,1171000000,TRIP,"Tripadvisor, Inc.",24893867,82000000,82000000,14000000,141000000,,,820000000,,,,,,351000000,822000000,1000000,,,0,353000000,161000000,,-23000000,246000000,,,,,,,,,44000000,,,8000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2023,137681493,162575360,,912000000,-1000000,1710000000,725000000,-1000000,73000000,871000000,1710000000,871000000,,871000000,-71000000,-71000000,271000000,1493000000,0,0,1666000000,1094000000,4000000,,,,168000000,26000000,25000000,896000000,57000000,839000000,,572000000,66000000,16000000,,,,441000000,287000000,22000000,28000000,2537000000,1240000000,44000000,,,86000000,86000000,,,32000000,872000000,43000000,829000000,206000000,-551000000,757000000,,129000000,591000000,,1297000000,38000000,,,,,,,192000000,15000000,177000000,1067000000,1067000000,TRIP,"Tripadvisor, Inc.",24893867,49000000,49000000,16000000,154000000,,,,,,,37000000,0,,822000000,1000000,,,0,237000000,6000000,,-21000000,198000000,,,,,,,,,,,,17000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2023,138411857,161981200,,917000000,-39000000,1662000000,682000000,-39000000,78000000,823000000,1662000000,823000000,,823000000,-89000000,-89000000,239000000,1470000000,0,0,1813000000,1094000000,2000000,,,,166000000,27000000,26000000,899000000,60000000,839000000,,719000000,80000000,18000000,,,,557000000,425000000,26000000,70000000,2636000000,1235000000,44000000,,,86000000,86000000,,,32000000,862000000,45000000,817000000,211000000,-537000000,748000000,,748000000,,,1401000000,43000000,,,,,,,234000000,20000000,214000000,1124000000,1124000000,TRIP,"Tripadvisor, Inc.",23569343,64000000,64000000,18000000,132000000,,,738000000,,,,,,386000000,797000000,1000000,,,0,329000000,26000000,,-24000000,238000000,,,,,,,,,,,,8000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2023,137873301,161442644,,922000000,-90000000,1619000000,624000000,-90000000,84000000,781000000,1619000000,781000000,,781000000,-79000000,-79000000,212000000,1445000000,0,0,1953000000,1099000000,2000000,,,,166000000,28000000,27000000,903000000,65000000,838000000,,854000000,66000000,19000000,,,,682000000,508000000,26000000,47000000,2734000000,1256000000,49000000,,,87000000,87000000,,,33000000,871000000,47000000,824000000,216000000,-538000000,754000000,,754000000,,,1478000000,46000000,,,,,,,291000000,29000000,211000000,1141000000,1141000000,TRIP,"Tripadvisor, Inc.",23569343,87000000,87000000,19000000,174000000,,,638000000,,,,,,503000000,797000000,1000000,,,0,435000000,26000000,,-21000000,232000000,,,,,,,,,51000000,,,16000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2023,142046218,160890832,,925000000,-66000000,1645000000,676000000,-66000000,88000000,808000000,1645000000,808000000,,808000000,-78000000,-78000000,188000000,1420000000,0,0,1876000000,1113000000,3000000,,,,175000000,29000000,28000000,906000000,69000000,837000000,,763000000,68000000,19000000,,,,595000000,471000000,126000000,34000000,2684000000,1245000000,50000000,,,70000000,70000000,,,33000000,874000000,49000000,825000000,218000000,-529000000,747000000,,747000000,,,1439000000,49000000,,,,,,,258000000,35000000,175000000,1132000000,1132000000,TRIP,"Tripadvisor, Inc.",18844614,81000000,81000000,19000000,124000000,,,630000000,,,,,,502000000,722000000,1000000,,,0,311000000,126000000,,-24000000,199000000,,,,,,,,,48000000,,,8000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2024,223494000,223494000,,302100000,6659500000,9784100000,2756300000,6659500000,302100000,9784100000,9784100000,10666200000,882100000,9784100000,-49600000,-49600000,9364800000,424200000,44700000,44700000,2187800000,1644600000,1011900000,,330600000,,,,,302100000,302100000,,,543200000,,,,,,543200000,543200000,176800000,366400000,12854000000,9554500000,642700000,,,,,,837400000,3868500000,3124600000,481800000,2642800000,1081300000,,1081300000,,1081300000,,,3299500000,,,,,,,,883000000,,883000000,2416500000,2416500000,TROW,"T. Rowe Price Group, Inc.",,,,,,,,,,612900000,497600000,,,,,,,,0,,176800000,2192800000,,,,,1062800000,,,,,,,,,,,,,,,,,,,,,,115300000,,,,,,,,,,,,,,,,,
12/31/2023,223938000,223938000,,308500000,6355000000,9505100000,2398800000,6355000000,308500000,9505100000,9505100000,10291200000,786100000,9505100000,-47500000,-47500000,9076100000,431700000,44800000,44800000,1987600000,1511900000,962600000,,240800000,,,,,308500000,308500000,,,475700000,,,,,,475700000,475700000,66200000,409500000,12278800000,9404300000,692500000,,,,,,806600000,3707400000,3150100000,507300000,2642800000,1047700000,-1675800000,2723500000,,241100000,1705100000,25700000,2874500000,,,,,,,,807900000,,807900000,2066600000,2066600000,TROW,"T. Rowe Price Group, Inc.",0,,,,,,,,,612600000,494200000,260900000,0,,,,,490700000,0,,66200000,2037400000,,,,,1057400000,,,,,,,,,,,,,,,,,,,,,,118400000,,,,,,,,,,,,,,,,,
9/30/2023,223540000,223540000,,309400000,6214700000,9399900000,2893100000,6214700000,309400000,9399900000,9399900000,10181600000,781700000,9399900000,-46200000,-46200000,8919400000,482000000,44700000,44700000,2375200000,1937600000,893400000,,734800000,,,,,309400000,309400000,,,437600000,,,,,,437600000,437600000,42400000,395200000,12556800000,9226100000,709400000,,,,,,,4281900000,3185200000,542400000,2642800000,1049600000,,1049600000,,1049600000,,,3330700000,,,,,,,,752000000,,752000000,2578700000,2578700000,TROW,"T. Rowe Price Group, Inc.",,,,,,,,,,1401900000,1281000000,,,,,,,,0,,42400000,1778300000,,,,,1101700000,,,,,,,,,,,1281000000,,,,,,,,,,,120900000,,,,,,,,,,,,,,,,,
6/30/2023,224281000,224281000,,323400000,6043600000,9263800000,2587400000,6043600000,323400000,9263800000,9263800000,10451100000,1187300000,9263800000,-47800000,-47800000,8746200000,520600000,44800000,44800000,2170300000,1746600000,912000000,,511200000,,,,,323400000,323400000,,,423700000,,,,,,423700000,423700000,42400000,381300000,12621400000,9610300000,692800000,,,,,,,4664500000,3220200000,577400000,2642800000,1032800000,,1032800000,,1032800000,,,3011100000,,,,,,,,761400000,,761400000,2249700000,2249700000,TROW,"T. Rowe Price Group, Inc.",,,,,,,,,,,,,,,,,,,0,,42400000,4664500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2023,224527000,224527000,,323900000,5798800000,9045400000,2315000000,5798800000,323900000,9045400000,9045400000,10073900000,1028500000,9045400000,-51700000,-51700000,8550400000,501800000,44900000,44900000,2082700000,1573200000,943200000,,306100000,,,,,323900000,323900000,,,509500000,,,,,,509500000,509500000,149600000,359900000,12156600000,9332100000,627700000,,,,,,,4427100000,3246600000,603800000,2642800000,1030700000,,1030700000,,1030700000,,,2824500000,,,,,,,,730400000,,730400000,2094100000,2094100000,TROW,"T. Rowe Price Group, Inc.",,,,,,,,,,,,,,,,,,,0,,149600000,4427100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2024,1037487829,1037487829,61377000000,64570000000,14758000000,92172000000,-823000000,17257000000,,27602000000,91204000000,39674000000,9573000000,30101000000,377000000,377000000,-2777000000,,32501000000,30002000000,88352000000,75644000000,6071000000,,,,,8470000000,,61103000000,,61103000000,,12708000000,384000000,3467000000,3467000000,3086000000,,8857000000,7952000000,,6944000000,1.28026E+11,1.16141E+11,8224000000,,,,,,,10777000000,12844000000,,12844000000,84296000000,-37049000000,1.21345E+11,,1.21345E+11,,,11885000000,2689000000,,1100000000,,,,,4218000000,,4218000000,3193000000,3193000000,TRP,TC Energy Corporation,,,,,905000000,,,,,,,,,,,8470000000,1008000000,,2499000000,,,,,,102000000,2499000000,10777000000,,,,,685000000,,,,905000000,,,,,,381000000,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2023,1037487829,1037487829,59523000000,63602000000,14522000000,90255000000,-445000000,17021000000,401000000,27054000000,89816000000,39008000000,9455000000,29553000000,49000000,49000000,-2997000000,0,32501000000,30002000000,86026000000,74209000000,5141000000,106000000,97000000,97000000,,8137000000,12000000,60664000000,401000000,60263000000,64000000,11817000000,1964000000,2938000000,2938000000,2938000000,,6724000000,5811000000,,4832000000,1.25034E+11,1.13662E+11,5285000000,518000000,,1332000000,1332000000,457000000,155000000,10314000000,12532000000,,12532000000,83069000000,-36602000000,1.19671E+11,7960000000,7926000000,,,11372000000,491000000,1285000000,1288000000,1288000000,,,,4360000000,151000000,4209000000,3678000000,3678000000,TRP,TC Energy Corporation,0,69000000,69000000,,913000000,120000000,,,,,,,,,,8125000000,979000000,,2499000000,,,,,,102000000,2499000000,10314000000,,92000000,,,58000000,,,122000000,913000000,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2023,1037000000,1037000000,63616000000,65586000000,18297000000,96729000000,-1514000000,20796000000,,31143000000,96870000000,33963000000,321000000,33642000000,1100000000,1100000000,-687000000,728000000,32501000000,30002000000,88686000000,77552000000,5897000000,,,,,8427000000,,63228000000,,63228000000,,11134000000,,2358000000,2358000000,2114000000,,8776000000,7944000000,,6967000000,1.22649E+11,1.13029E+11,7384000000,,,,,,,10001000000,12846000000,,12846000000,82798000000,-36320000000,1.19118E+11,,1.19118E+11,,,9620000000,2857000000,,1229000000,,,,,3564000000,,3564000000,1970000000,1970000000,TRP,TC Energy Corporation,,,,,832000000,,,,,,,,,,,8427000000,977000000,,2499000000,,,,,,102000000,2499000000,10001000000,,,,,,,,,832000000,,,,,,244000000,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2023,1029000000,1029000000,60603000000,61694000000,18777000000,93033000000,-4967000000,21276000000,,31339000000,90219000000,34162000000,324000000,33838000000,508000000,508000000,476000000,728000000,32126000000,29627000000,82871000000,70281000000,5760000000,,,,,8140000000,,56381000000,,56381000000,,12590000000,,5313000000,5313000000,2735000000,,7277000000,6555000000,,5585000000,1.17033E+11,1.0941E+11,7125000000,,,,,,,9784000000,12562000000,,12562000000,79939000000,-35545000000,1.15484E+11,,1.15484E+11,,,7623000000,2357000000,,1046000000,,,,,3129000000,,3129000000,1091000000,1091000000,TRP,TC Energy Corporation,,,,,722000000,,,,,,,,,,,8140000000,970000000,,2499000000,,,,,,102000000,2499000000,9784000000,,,,,,,,,722000000,,,,,,2578000000,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2023,1023000000,1023000000,59160000000,63011000000,19237000000,95085000000,-3640000000,21736000000,,32074000000,91311000000,34795000000,222000000,34573000000,903000000,903000000,1182000000,725000000,31763000000,29264000000,84406000000,70448000000,5705000000,,,,,8005000000,,56738000000,,56738000000,,13958000000,,6273000000,6273000000,2242000000,,7685000000,6953000000,,5990000000,1.19201E+11,1.08883E+11,6890000000,,,,,,,9696000000,12837000000,,12837000000,79460000000,-35165000000,1.14625E+11,,1.14625E+11,,,10318000000,2323000000,,984000000,,,,,3160000000,,3160000000,3851000000,3851000000,TRP,TC Energy Corporation,,,,,732000000,,,,,,,,,,,8005000000,963000000,,2499000000,,,,,,102000000,2499000000,9696000000,,,,,,,,,732000000,,,,,,4031000000,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2024,229000000,790000000,7365000000,8032000000,20395000000,33054000000,,20395000000,,25022000000,32954000000,25022000000,,25022000000,-5131000000,-5131000000,46483000000,,25163000000,25163000000,1.02388E+11,,,,,,,,,7932000000,,7932000000,,,,100000000,100000000,100000000,,4172000000,4172000000,,4172000000,1.2741E+11,,,,,,,,,83362000000,4627000000,376000000,4251000000,,,,,,,,,,,,,,,,22195000000,,22195000000,83340000000,667000000,TRV,"The Travelers Companies, Inc.",561000000,,,,,,82673000000,,,,,,,,41493000000,,,,,,,,,,,,,,1535000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2023,228200000,787400000,7381000000,8031000000,20668000000,32952000000,,20668000000,,24921000000,32852000000,24921000000,,24921000000,-4471000000,-4471000000,45591000000,,24906000000,24906000000,1.01057E+11,,,,,,,,,7931000000,,7931000000,,,,100000000,100000000,,,3787000000,3787000000,,3787000000,1.25978E+11,,,,,,,,,83552000000,4253000000,277000000,3976000000,,,,,,,,,,,,,,,,21674000000,,21674000000,83594000000,650000000,TRV,"The Travelers Companies, Inc.",559200000,,,,,,82944000000,,100000000,,,,,,41105000000,,,,,,,,,,,,,,1150000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2023,228400000,787200000,7438000000,8031000000,15745000000,28009000000,,15745000000,,19978000000,27909000000,19978000000,,19978000000,-8012000000,-8012000000,44198000000,,24831000000,24831000000,1.01406E+11,,,,,,,,,7931000000,,7931000000,,,,100000000,100000000,100000000,,4294000000,4294000000,,4294000000,1.21384E+11,,,,,,,,,77645000000,4233000000,278000000,3955000000,,,,,,,,,,,,,,,,22079000000,,22079000000,77665000000,593000000,TRV,"The Travelers Companies, Inc.",558800000,,,,,,77072000000,,,,,,,,41039000000,,,,,,,,,,,,,,1389000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2023,228900000,787100000,7426000000,8031000000,17597000000,29886000000,,17597000000,,21855000000,29786000000,21855000000,,21855000000,-6009000000,-6009000000,44026000000,,24776000000,24776000000,98718000000,,,,,,,,,7931000000,,7931000000,,,,100000000,100000000,100000000,,4195000000,4195000000,,4195000000,1.20573E+11,,,,,,,,,77691000000,4258000000,283000000,3975000000,,,,,,,,,,,,,,,,21897000000,,21897000000,77709000000,605000000,TRV,"The Travelers Companies, Inc.",558200000,,,,,,77104000000,,,,,,,,40938000000,,,,,,,,,,,,,,1302000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2023,231000000,787000000,6525000000,7292000000,18808000000,30344000000,,18808000000,,23052000000,30244000000,23052000000,,23052000000,-5386000000,-5386000000,44273000000,,24703000000,24703000000,95300000000,,,,,,,,,7192000000,,7192000000,,,,100000000,100000000,100000000,,4378000000,4378000000,,4378000000,1.18352E+11,,,,,,,,,76806000000,4244000000,285000000,3959000000,,,,,,,,,,,,,,,,21172000000,,21172000000,76924000000,767000000,TRV,"The Travelers Companies, Inc.",556000000,,,,,,76157000000,,,,,,,,40538000000,,,,,,,,,,,,,,1360000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2024,107892000,177744000,1465615000,5084407000,1854491000,3853711000,1001729000,1854491000,3354707000,2124011000,3853711000,2124011000,,2124011000,6062000,6062000,6361317000,1332608000,1422000,1422000,7430943000,4913188000,140467000,,,,,68489000,,4704232000,2974532000,1729700000,,2517755000,,380175000,,,22880000,2114700000,1555012000,39331000,1515681000,9554954000,6035470000,80029000,,,,,,,,269520000,,,5685921000,,5685921000,,5685921000,,,3519484000,206680000,,3048719000,,,,,0,,,264085000,264085000,TSCO,Tractor Supply Company,69852000,,,380175000,559688000,,,,,,,,,,5577398000,68489000,,,0,,39331000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
